title_id;title_nl;description_nl;title_fr;description_fr;title_en;description_en
visualize_pathways_year_level1;Trends in het aantal geïntroduceerde taxa per categorie van introductieroute;"<p>Deze grafiek toont de trends in het aantal geïntroduceerde taxa per categorie van introductieroute <i>(<a href=""https://www.cbd.int/doc/c/9d85/3bc5/d640f059d03acd717602cd76/sbstta-22-inf-09-en.pdf#page=8"" target = ""_blank"">CBD, niveau 1</a>)</i>.
<p>De taxa zijn gegroepeerd per decennium op basis van hun jaar van eerste waarneming zoals gespecificeerd op de <a href= ""https://www.gbif.org/dataset/6d9e952f-948c-4483-9807-575348147c7e"" target=""_blank""> GRIIS checklist van België</a>.
<p><i><span style=""color: red; font-size: 1.5em; font-weight: bold; animation: pulse 1s infinite;"">!</span> Een taxon kan via meerdere (categorieën van) introductieroutes worden geïntroduceerd. Een taxon kan dus meer dan eens op deze grafiek voorkomen. Dit betekent dat de som van 'het aantal geïntroduceerde taxa per categorie van introductieroute' groter kan zijn dan het 'totale aantal taxa'.</i>";Tendances du nombre de taxons introduits par catégorie de voie d'introduction;"<p>Ce graphique montre les tendances du nombre de taxons introduits par catégorie de voie d'introduction <i>(<a href=""https://www.cbd.int/doc/c/9d85/3bc5/d640f059d03acd717602cd76/sbstta-22-inf-09-en.pdf#page=8"" target = ""_blank"">CBD, niveau 1</a>)</i>.
<p>Les taxons sont regroupés par décennie en fonction de leur année de première observation, telle que spécifiée dans la <a href= ""https://www.gbif.org/dataset/6d9e952f-948c-4483-9807-575348147c7e"" target=""_blank""> liste de contrôle GRIIS de Belgique</a>.
<p><i><span style=""color: red; font-size: 1.5em; font-weight: bold; animation: pulse 1s infinite;"">!</span> Un même taxon peut être introduit par le biais de plusieurs catégories de voies d'introduction, un taxon peut donc être inclus plus d'une fois dans ce graphique. Cela signifie que la somme du ""nombre de taxons introduits par catégorie de voie d'introduction"" peut être supérieure au ""nombre de taxons""</i>.";Trend in the number of introduced taxa per introduction pathway category;"<p>This graph shows the trends in the number introduced taxa per introduction pathway category <i>(<a href=""https://www.cbd.int/doc/c/9d85/3bc5/d640f059d03acd717602cd76/sbstta-22-inf-09-en.pdf#page=8"" target = ""_blank"">CBD, level1</a>)</i>
<p>The taxa are grouped by decade based on their year of first observation as specified on the <a href= ""https://www.gbif.org/dataset/6d9e952f-948c-4483-9807-575348147c7e"" target=""_blank""> GRIIS checklist of Belgium</a>. 
<p><i><span style=""color: red; font-size: 1.5em; font-weight: bold; animation: pulse 1s infinite;"">!</span> A single taxa can be introduced via multiple introduction pathway categories, a taxa can thus be included more than once on this graph. This means the sum of the 'number of introduced taxa per introduction pathway category' can be larger than the 'number of taxa'</i>."
visualize_pathways_level2;Aantal geïntroduceerde taxa per subcategorie van introductieroute;"<p>Deze grafiek toont het aantal geïntroduceerde taxa per subcategorie van introductieroute <i>(<a href=""https://www.cbd.int/doc/c/9d85/3bc5/d640f059d03acd717602cd76/sbstta-22-inf-09-en.pdf#page=8"" target = ""_blank"">CBD, niveau 2</a>)</i>.</p>
<p></p>
<p><i><span style=""color: red; font-size: 1.5em; font-weight: bold; animation: pulse 1s infinite;"">!</span> Deze grafiek kan alleen de subcategorieën van een enkele introductie route categorie weergeven. Selecteer <b>één</b> categorie met behulp van het filter bovenaan deze pagina</i>.</p>";Nombre de taxons introduits par sous-catégorie de voie d'introduction;"<p>Ce graphique montre le nombre de taxons introduits par sous-catégorie de voie d'introduction <i>(<a href=""https://www.cbd.int/doc/c/9d85/3bc5/d640f059d03acd717602cd76/sbstta-22-inf-09-en.pdf#page=8"" target = ""_blank"">CBD, niveau 2</a>)</i>.</p>
<p></p>
<p><i><span style=""color: red; font-size: 1.5em; font-weight: bold; animation: pulse 1s infinite;"">!</span> Ce graphique ne peut afficher que les sous-catégories d'une seule catégorie de voie d'introduction. Veuillez sélectionner une catégorie en utilisant le filtre en haut de cette page</i>.</p>";Number of introduced taxa per introduction pathway subcategory;"<p>This graph shows the number of introduced taxa per introduction pathway subcategory <i>(<a href=""https://www.cbd.int/doc/c/9d85/3bc5/d640f059d03acd717602cd76/sbstta-22-inf-09-en.pdf#page=8"" target = ""_blank"">CBD, level2</a>)</i>.
<p><p><i><span style=""color: red; font-size: 1.5em; font-weight: bold; animation: pulse 1s infinite;"">!</span> This graph can only display the subcategories of a single introduction pathway category. Please select a category using the filter at the top of this page</i>."
visualize_pathways_year_level2;Trends in het aantal geïntroduceerde taxa per subcategorie van introductieroute;"<p>Deze grafiek toont de trends in het aantal geïntroduceerde taxa per subcategorie van introductieroute <i>(<a href=""https://www.cbd.int/doc/c/9d85/3bc5/d640f059d03acd717602cd76/sbstta-22-inf-09-en.pdf#page=8"" target = ""_blank"">CBD, niveau 2</a>)</i></p>
<p>De taxa zijn gegroepeerd per decennium op basis van hun jaar van eerste waarneming zoals gespecificeerd op de <a href= ""https://www.gbif.org/dataset/6d9e952f-948c-4483-9807-575348147c7e"" target=""_blank""> GRIIS checklist van België</a>.</p>
<p><i><span style=""color: red; font-size: 1.5em; font-weight: bold; animation: pulse 1s infinite;"">!</span> Deze grafiek kan alleen de subcategorieën van <b>één</b> enkele introductie route categorie weergeven. Selecteer een categorie met behulp van de filter boven deze grafiek</i>.</p>
<p><i><span style=""color: red; font-size: 1.5em; font-weight: bold; animation: pulse 1s infinite;"">!</span> Een taxon kan via meerdere (subcategorieën van) introductieroutes worden geïntroduceerd. Een taxon kan dus meer dan eens op deze grafiek voorkomen. Dit betekent dat de som van 'het aantal geïntroduceerde taxa per subcategorie van introductieroute' groter kan zijn dan het 'totale aantal taxa'.</i></p>";Tendances du nombre de taxons introduits par sous-catégorie de voie d'introduction;"<p>Ce graphique montre les tendances du nombre de taxons introduits par sous-catégorie de voie d'introduction <i>(<a href=""https://www.cbd.int/doc/c/9d85/3bc5/d640f059d03acd717602cd76/sbstta-22-inf-09-en.pdf#page=8"" target = ""_blank"">CBD, niveau 2</a>)</i></p>
<p>Les taxons sont regroupés par décennie en fonction de leur année de première observation, telle que spécifiée dans la <a href= ""https://www.gbif.org/dataset/6d9e952f-948c-4483-9807-575348147c7e"" target=""_blank""> liste de contrôle GRIIS de Belgique</a>.</p>
<p><i><span style=""color: red; font-size: 1.5em; font-weight: bold; animation: pulse 1s infinite;"">!</span> Ce graphique ne peut afficher que les sous-catégories d'une seule catégorie de voie d'introduction. Veuillez sélectionner une catégorie en utilisant le filtre en haut de ce graphique</i>.</p>
<p><i><span style=""color: red; font-size: 1.5em; font-weight: bold; animation: pulse 1s infinite;"">!</span> Un même taxon peut être introduit par le biais de plusieurs sous-catégories de voies d'introduction, un taxon peut donc être inclus plus d'une fois dans ce graphique. Cela signifie que la somme du ""nombre de taxons introduits par catégorie de voie d'introduction"" peut être supérieure au ""nombre de taxons""</i>.</p>";Trend in the number of introduced taxa per introduction pathway subcategory;"<p>This graph shows the trends in the number introduced taxa per introduction pathway subcategory <i>(<a href=""https://www.cbd.int/doc/c/9d85/3bc5/d640f059d03acd717602cd76/sbstta-22-inf-09-en.pdf#page=8"" target = ""_blank"">CBD, level2</a>)</i>
<p>The taxa are grouped by decade based on their year of first observation as specified on the <a href= ""https://www.gbif.org/dataset/6d9e952f-948c-4483-9807-575348147c7e"" target=""_blank""> GRIIS checklist of Belgium</a>. 
<p><i><span style=""color: red; font-size: 1.5em; font-weight: bold; animation: pulse 1s infinite;"">!</span> This graph can only display the subcategories of a single introduction pathway category. Please select a category using the filter above the graph</i>.
<p><i><span style=""color: red; font-size: 1.5em; font-weight: bold; animation: pulse 1s infinite;"">!</span> A single taxa can be introduced via multiple introduction pathway subcategories, a taxa can thus be included more than once on this graph. This means the sum of the 'number of introduced taxa per introduction pathway category' can be larger than the 'number of taxa'</i>."
welcomeTitle;Welkom op het exotenportaal;Op deze pagina vind je alle cijfers en trends over uitheemse soorten in België.;Bienvenue sur la page des espèces exotiques;Sur cette page, vous trouverez tous les chiffres et tendances concernant les espèces exotiques en Belgique.;Welcome to the alien species dashboard;On this page you will find all figures and trends about alien species in Belgium.
occupancy;Verspreiding;Oppervlakte bezet door een soort;Répartition;Surface occupée par une espèce;Occupancy;Area occupied by a species
checklist-welcome;Checklijst indicatoren;"Op deze pagina vindt u tabellen en grafieken terug gebaseerd op de <a href= ""https://www.gbif.org/dataset/6d9e952f-948c-4483-9807-575348147c7e"" target=""_blank""> GRIIS checklijst van België</a>.";Indicateurs checklist;"Sur cette page, vous trouverez des tableaux et des graphiques basés sur la <a href= ""https://www.gbif.org/dataset/6d9e952f-948c-4483-9807-575348147c7e"" target=""_blank""> checklist GRIIS de Belgique</a>.";Checklist indicators;"On this page you can find tables and graphs based on the <a href= ""https://www.gbif.org/dataset/6d9e952f-948c-4483-9807-575348147c7e"" target=""_blank""> GRIIS checklist of Belgium</a>."
species-welcome;Soortgegevens;"<p style=""text-align: center;"">Op deze pagina vindt u interactieve figuren en trends voor individuele soorten, die u kan selecteren via het keuzemenu hieronder. Standaard worden de gegevens voor heel België weergegeven, maar u kan ook één of meerdere specifieke regio's selecteren voor een meer op maat gemaakte weergave. Onze belangrijkste gegevensbron is <a href=""https://www.gbif.org"" target=""_blank"">GBIF.org</a>, aangevuld met andere datasets waar relevant. </p>";Données d'espèces;"<p style=""text-align: center;"">
Sur cette page, vous trouverez des graphiques interactifs et des tendances pour des espèces individuelles, que vous pouvez sélectionner via le menu déroulant ci-dessous. Par défaut, les données sont affichées pour l'ensemble de la Belgique, mais vous pouvez également sélectionner une ou plusieurs régions spécifiques pour une vue plus personnalisée. Notre principale source de données est <a href=""https://www.gbif.org"" target=""_blank"">GBIF.org</a>, complétée par d'autres ensembles de données lorsque cela est pertinent.
</p>";Species information;"<p style=""text-align: center;"">This page offers interactive figures and trends for individual species, which you can select using the dropdown menu below. By default, data is shown for all of Belgium, but you can choose any combination of specific regions for a more tailored view. Our primary data source is <a href=""https://www.gbif.org"" target=""_blank"">GBIF.org</a>, supplemented with additional datasets where relevant.</p>"
management-mapOccurrence_oxyura_jamaicensis;Beheer van {{species}};"<p>Kaart en bijbehorende grafieken van gerealiseerd beheer.</p>
<p>
<li>Op de kaart zie je de ruimtelijke verspreiding van het beheer in de gekozen periode<sup>1</sup>.
<li>In de grafiek onder de kaart vind je de trend per regio (Vlaanderen, Wallonië en/of Brussel)
</p>

<p>Gegevens kunnen worden weergegeven volgens <i>Geslacht</i> en <i>Staalnameprotocol</i>. 
<br>
<p><sup>1</sup><i>De schuifbalk voor de periode bevindt zich onder de grafiek</i>";Gestion de {{species}};"<p>Carte et graphiques associés de la gestion réalisée.</p>
<p>
<li>Sur la carte vous pouvez voir la répartition spatiale de la gestion pendant la période choisie<sup>1</sup>.
<li>Sur le graphique sous la carte vous trouverez la tendance par région (Flandre, Wallonie et/ou Bruxelles)
</p>

<p>Les données peuvent être affichées par <i>Sexe</i> et <i>Protocole d’échantillonnage</i>. 
<br>
<p><sup>1</sup><i>Le curseur de la période se trouve sous le graphique</i>";Management of {{species}};"<p>Map and associated graphs of realized management.</p>

<p>
<li>On the map you can see the spatial distribution of management for the chosen period<sup>1</sup>. 
<li>On the graph below the map, you can see the trend per region (Flanders, Wallonia and/or Brussels)
</p>

<p>Data can be displayed by <i>Gender</i> and <i>Sampling protocol</i>. 
<br>
<p><sup>1</sup><i>The period slider can be found below the graph</i>"
confirmLanguageChange;Taal wijzigen;Weet u zeker dat u de taal van de applicatie wilt wijzigen? Dit zal leiden tot verlies van grafiek- en tabelinstellingen.;Changer de langue;Voulez-vous vraiment changer la langue de l'application? Cela entraînera la perte des paramètres des graphiques et des tableaux.;Change language;Are you sure you want to change the language of the application? This will result in a loss of graph and table settings.
countOccurrence_yLabel;Verspreiding (aantal 1 x 1 km hokken);NA;Répartition (nombre de carrés de 1 x 1 km);NA;Occupancy<br>(no. 1 x 1 km squares);NA
obs_disclaimer_1311477;NA;Let op: De gegevens onder <b>Bezetting</b> omvatten waarnemingen van zowel nesten als individuen van <i>Vespa velutina</i>.<br>Voor informatie over het aantal gemelde nesten, ga naar het tabblad <b>Beheer</b>.;NA;Attention: Les données affichées sous <b>Répartition</b> comprennent des observations à la fois de nids et d'individus de <i>Vespa velutina</i>.<br>Pour obtenir des informations sur le nombre de nids signalés, consultez la section <b>Gestion</b>.;NA;Attention: The data shown under <b>Occupancy</b> include sightings of both nests and individuals of <i>Vespa velutina</i>.<br> For information on the number of reported nests, go to the <strong>Management</strong> section.
MICA_dashboard;MICA dashboard;Dit interactieve dashboard focust op de muskusrat (<i>Ondatra zibethicus</i>) en de beverrat (<i>Myocastor coypus</i>). Het werd ontwikkeld in het kader van het Europese LIFE MICA-project en brengt waarnemingen en vangstgegevens uit België, Nederland en Duitsland in kaart, ter ondersteuning van het beheer van deze invasieve soorten. Gebruikers kunnen de gegevens verkennen via interactieve kaarten, grafieken en tabellen.;MICA dashboard;Ce tableau de bord interactif présente des données sur le rat musqué (<i>Ondatra zibethicus</i>) et le ragondin (<i>Myocastor coypus</i>). Développé dans le cadre du projet européen LIFE MICA, il cartographie les observations et les données de capture recueillies en Belgique, aux Pays-Bas et en Allemagne afin de soutenir la gestion de ces espèces invasives. Les utilisateurs peuvent explorer les données au moyen de cartes interactives, de graphiques et de tableaux.;MICA dashboard;This interactive dashboard focuses on muskrats (<i>Ondatra zibethicus</i>) and coypus (<i>Myocastor coypus</i>). Created under the European LIFE MICA project, it maps field observations and trapping data across Belgium, the Netherlands, and Germany to support the management of these invasive species. Users can explore the data through interactive maps, graphs, and tables.
RadIUS_dashboard;RadIUS dashboard;Dit interactieve dashboard werd ontwikkeld binnen het RadIUS-project en brengt de verspreiding van verschillende invasieve uitheemse soorten in Vlaamse natuurterreinen in kaart. Er worden gegevens getoond voor 79 invasieve soorten en verschillende types natuurterreinen, waaronder Natura 2000-habitattypes, het ANB-patrimonium en soortenbeschermingsprogramma’s. Het dashboard visualiseert de resultaten en biedt beheerders hiermee een praktische tool om prioriteiten te bepalen.;RadIUS dashboard;Ce tableau de bord interactif a été développé dans le cadre du projet RadIUS et cartographie la présence de différentes espèces exotiques envahissantes dans les espaces naturels de Flandre. L’analyse porte sur 79 espèces envahissantes et différents types de territoires naturels, par exemple les habitats Natura 2000, le patrimoine de l’ANB et les programmes de protection des espèces. Le tableau de bord rassemble les résultats et offre aux acteurs un outil pratique pour définir les priorités de gestion.;RadIUS dashboard;This interactive dashboard was developed as part of the RadIUS project and maps the occurrence of various invasive alien species in natural areas in Flanders. The analysis covers 79 invasive species and different types of natural areas, including Natura 2000 habitat types, areas managed by the Flemish Agency for Nature and Forest (ANB), and species protection programmes. The dashboard visualizes these results and provides stakeholders with a practical tool for determining management priorities.
Early_alert_dashboard;Early alert;Dit interactieve dashboard werd ontwikkeld in het kader van het Europese LIFE RIPARIAS-project en bundelt GBIF-gegevens over 15 invasieve soorten in oever- en riviergebieden, evenals gegevens over alle soorten van de Unielijst. Het stelt lokale terreinbeheerders in staat om waarnemingen te raadplegen en e-mailwaarschuwingen in te stellen voor specifieke soorten en gebieden.;Early alert;Ce tableau de bord interactif a été développé dans le cadre du projet européen LIFE RIPARIAS et rassemble des données GBIF sur 15 espèces exotiques envahissantes des milieux riverains et des cours d’eau, ainsi que des données sur toutes les espèces de la liste de l’Union. Il permet aux gestionnaires locaux de consulter les observations et de configurer des alertes par e-mail pour des espèces et des zones spécifiques.;Early alert;This interactive dashboard was developed as part of the European LIFE RIPARIAS project and aggregates open biodiversity data on 15 riparian invaders and all Union List species via GBIF. It helps local managers explore observations and set up early warning alerts for specific species and areas to support early detection and rapid response.
target6;Target 6: vestigingssnelheid van invasieve uitheemse soorten;"Aantal nieuw gevestigde invasieve soorten per jaar in België sinds 1970, berekend met het <a href=""https://pypi.org/project/b3alien/"" target=""_blank"">b3alien</a>-package om te corrigeren voor detectievertragingen. Deze indicator is gebaseerd op de Belgische checklist van het Global Register of Introduced and Invasive Species (<a href=""https://doi.org/10.15468/xoidmd"" target=""_blank"">GRIIS</a>) en omvat enkel soorten die geclassificeerd zijn als gevestigd, invasief of wijdverspreid invasief.";Target 6 : taux d'établissement des espèces exotiques envahissantes;"Nombre de nouvelles espèces envahissantes établies par an en Belgique depuis 1970, calculé à l'aide du package <a href=""https://pypi.org/project/b3alien/"" target=""_blank"">b3alien</a> pour corriger les délais de détection. Cet indicateur est basé sur la liste de contrôle belge du Registre mondial des espèces introduites et envahissantes (<a href=""https://doi.org/10.15468/xoidmd"" target=""_blank"">GRIIS</a>) et n'inclut que les espèces classées comme établies, envahissantes ou largement envahissantes.";Target 6 indicator: rate of invasive alien species establishment;"Number of newly established invasive species per year in Belgium since 1970, calculated using the <a href=""https://pypi.org/project/b3alien/"" target=""_blank"">b3alien</a> package to correct for detection lags. This indicator is based on the Belgian checklist of the Global Register of Introduced and Invasive Species (<a href=""https://doi.org/10.15468/xoidmd"" target=""_blank"">GRIIS</a>) and includes only species classified as established, invasive, or widespread invasive."
target6_yLab;Aantal nieuw gevestigde invasieve exoten;NA;Nombre d'espèces exotiques envahissantes nouvellement établies;;Number of newly established invasive species;NA
